// Statistic and classification of LTP testcases (on RISC-V musl)
// newly passed testcases should be updated here, not in the rank files.
// Testcases are composed of "units".
// Classification rules:
// 1. all pass:			pass all units
// 2. skip pass:			at least one passed but some units stay not tested due to unimplement feature \
				or output indecates that it passed but not with "TPASS" format
// 3. part fail: 			at least one failed units(sometimes caused by timeout)
// 4. skip:				skip without pass
// 5. skip consuming time:		skip without pass and cost more than 30 seconds
// 4. all fail:			fail all units
// 5. defect panic: 			panicked with wrong implementation
// 6. unimplement panic: 		panic caused by unimplemented syscall(label the syscall number parentheses) or unimplemented function
// 7. timeout with pass: 		timeout but pass at least unit(Timeout means stuck for more than 1 min. When output say "timeout" we call it "skip")
// 8. timeout no pass:			timeout and no pass units
// 9. skip:				some how totally skipped

name			type		pass	fail+broken
copy_file_range03		all fail		0	1
cp_tests.sh			skip		0	0
cpio_tests.sh		skip		0	0	
cpuacct.sh			skip		0	0
cpuacct_task		skip		0	0
cpuctl_def_task01		timeout no pass	0	2
cpuctl_def_task02		timeout no pass	0	2
cpuctl_def_task03		timeout no pass	0	2
cpuctl_def_task04		timeout no pass	0	2
cpuctl_fj_cpu-hog		skip		0	0
cpuctl_fj_simple_echo		skip		0	0
cpuctl_latency_check_task	skip		0	0
cpuctl_latency_test		all fail		0	1
cpuctl_test01		timeout no pass	0	2
cpuctl_test02		timeout no pass	0	2
cpuctl_test03		timeout no pass	0	2
cpuctl_test04		timeout no pass	0	2
cpufreq_boost		skip		0	0
cpuhotplug01.sh		skip		0	0
cpuhotplug02.sh		skip		0	0
cpuhotplug03.sh		skip		0	0
cpuhotplug04.sh		skip		0	0
cpuhotplug05.sh		skip		0	0
cpuhotplug06.sh		skip		0	0
cpuhotplug07.sh		skip		0	0
cpuhotplug_do_disk_write_loop	timeout no pass	0	0
cpuhotplug_do_kcompile_loop	skip		0	0
cpuhotplug_do_spin_loop		timeout no pass	0	0
cpuhotplug_hotplug.sh		skip		0	0
cpuhotplug_report_proc_interrupts	skip		0	0
cpuhotplug_testsuite.sh		skip		0	0
cpuset01			skip		0	0
crash01			all pass		1	0
crash02			unimplement panic	0	0
creat01			part fail		4	2
creat03			all pass		1	0
creat04			all pass		2	0
creat05			all pass		1	0
creat06			part fail		7	1
creat07			all fail		0	1
creat07_child		skip		0	0
creat08			all fail		0	1
creat09			all fail		0	1
create_datafile		skip		0	0
create_file			skip		0	0
crypto_user01		all fail		0	1
crypto_user02		all fail		0	1
cve-2014-0196		all fail		0	1
cve-2015-3290		skip		0	0
cve-2016-10044		unimplement panic	0	0
cve-2016-7042		skip		0	0
cve-2016-7117		timeout no pass	0	0
cve-2017-16939		skip		0	0
cve-2017-17052		all pass		1	0
cve-2017-17053		skip		0	0		
cve-2017-2618		skip		0	0
cve-2017-2671		skip		0	0
cve-2022-4378		skip		0	0
daemonlib.sh		skip		0	0
data			skip		0	0
data_space			skip		0	0
datafiles			skip		0	0
dccp01.sh			skip		0	0
dccp_ipsec.sh		skip		0	0
dccp_ipsec_vti.sh		skip		0	0
dctcp01.sh			skip		0	0
delete_module01		all fail		0	1
delete_module02		unimplement panic	0	0
delete_module03		all fail		0	1	
df01.sh			skip		0	0
dhcp_lib.sh			skip		0	0
dhcpd_tests.sh		skip		0	0
dio_append			skip		0	0
dio_read			all pass		1	0
dio_sparse			all pass		1	0		
dio_truncate		timeout no pass	0	0
diotest1			all pass		1	0
diotest2			all pass		3	0
diotest3			all pass		3	0
diotest4			part fail		12	6
diotest5			all pass		3	0
diotest6			all pass		3	0
dirty			skip		0	0
dirtyc0w			part fail		1	1
dirtyc0w_child		all fail		0	1
dirtyc0w_shmem		part fail		0	1
dirtyc0w_shmem_child		skip		0	0
