[rank] test_name        pass  total_line
[ 933] ioctl_ns04           1     9
[ 934] ioctl_ns06           1     9
[ 935] io_destroy02         1    11
[ 936] io_getevents01       1    11
[ 937] ioperm01             1    10
[ 938] ioprio_get01         1     9
[ 939] ioprio_set01         1    11
[ 940] io_uring02           1    10
[ 941] kallsyms             1     9
[ 942] keyctl02             1    11
[ 943] keyctl03             1     9
[ 944] keyctl04             1     9
[ 945] keyctl06             1     9
[ 946] keyctl08             1    10
[ 947] kill05               1     9
[ 948] kill06               1    16
[ 949] ksm05                1    11
[ 950] ksm07                1    30
[ 951] leapsec01            1    41
[ 952] lftest               1    12
[ 953] link05               1    10
[ 954] listxattr01          1     9
[ 955] llistxattr01         1     9
[ 956] lstat01              1     9
[ 957] lstat01              1     9
[ 958] madvise03            1     9
[ 959] madvise05            1     9
[ 960] madvise07            1    11
[ 961] madvise11            1    16
[ 962] mallinfo2_01         1     9
[ 963] mallocstress         1   129
[ 964] memcg_test_3         1    12
[ 965] memset01             1    12
[ 966] mesgq_nstest         1    25
[ 967] mincore04            1    10
[ 968] mkdir02              1    12
[ 969] mkdir04              1    10
[ 970] mkdir05              1    11
[ 971] mknod09              1    30
[ 972] mlock03              1    64
[ 973] mlock04              1    10
[ 974] mlock203             1    31
[ 975] mmap02               1    11
[ 976] mmap05               1    10
[ 977] mmap08               1    10
[ 978] mmap12               1    11
[ 979] mmap13               1    12
[ 980] mmap15               1    14
[ 981] mmap17               1    10
[ 982] mmap19               1    20
[ 983] mmap20               1    10
[ 984] mmapstress01         1    16
[ 985] mmapstress04         1    88
[ 986] mount04              1    13
[ 987] mountns04            1    17
[ 988] mprotect05           1    10
[ 989] mqns_01              1    13
[ 990] mqns_02              1    13
[ 991] msg_comm             1    10
[ 992] msgget01             1    10
[ 993] msgget03             1    13
[ 994] msgget05             1    10
[ 995] msgrcv05             1    10
[ 996] msgrcv06             1    10
[ 997] msgrcv08             1    10
[ 998] msgsnd06             1    10
[ 999] msgstress01          1    25
[1000] mtest01              1    13
[1001] munlock02            1    10
[1002] netns_netlink        1    10
[1003] nft02                1    74
[1004] nice02               1    10
[1005] nice03               1    10
[1006] nice04               1    10
[1007] nice05               1   214
[1008] open03               1    10
[1009] open04               1    10
[1010] open06               1    10
[1011] pause01              1    14
[1012] pcrypt_aead01        1   261
[1013] perf_event_open02     1    24
[1014] perf_event_open03     1    10
[1015] personality02        1    10
[1016] pidfd_getfd01        1    10
[1017] pidfd_open01         1    10
[1018] pidfd_open03         1    10
[1019] pidfd_send_signal03     1    11
[1020] pidns03              1    13
[1021] pidns13              1    10
[1022] pidns20              1    10
[1023] pidns32              1    14
[1024] pipe01               1    10
[1025] pipe02               1    10
[1026] pipe06               1    12
[1027] pipe08               1    12
[1028] pipe10               1    10
[1029] pipe14               1    10
[1030] pipe15               1    14
[1031] pread01              1    10
[1032] pread01              1    10
[1033] process_madvise01     1    12
[1034] process_vm_readv02     1    12
[1035] pselect03            1    10
[1036] pselect03            1   628
[1037] ptrace02             1    10
[1038] ptrace07             1    14
[1039] ptrace09             1    10
[1040] ptrace10             1    10
[1041] ptrace11             1    10
[1042] pt_test              1    78
[1043] pty02                1    12
[1044] pty03                1    48
[1045] pty05                1    26
[1046] pwrite01             1    10
[1047] pwrite01             1    10
[1048] pwrite03             1    10
[1049] pwrite03             1    10
[1050] pwrite04             1    10
[1051] pwrite04             1    10
[1052] read01               1    10
[1053] read03               1    10
[1054] read04               1    10
[1055] readdir01            1    10
[1056] realpath01           1    10
[1057] recvmsg02            1    11
[1058] rename09             1    11
[1059] request_key01        1    10
[1060] request_key04        1    10
[1061] request_key05        1    11
[1062] rmdir01              1    11
[1063] rtc02                1  1322
[1064] sbrk02               1    34
[1065] UNKNOWN              1    10
[1066] UNKNOWN              1    10
[1067] sctp_big_chunk       1    13
[1068] sem_comm             1    10
[1069] semctl02             1    10
[1070] semget05             1    14
[1071] sem_nstest           1    12
[1072] semop04              1    19
[1073] sendfile05           1    10
[1074] sendfile05           1    10
[1075] sendfile06           1    10
[1076] sendfile06           1    10
[1077] sendfile07           1    10
[1078] sendfile07           1    10
[1079] sendfile08           1    10
[1080] sendfile08           1    11
[1081] sendmsg03            1    37
[1082] sendto02             1    11
[1083] setegid02            1    10
[1084] setfsuid02           1    10
[1085] setfsuid03           1    10
[1086] setgid01             1    10
[1087] setgid02             1    10
[1088] setgroups01          1    10
[1089] setrlimit04          1    10
[1090] setrlimit05          1    10
[1091] setrlimit06          1    16
[1092] setsockopt03         1    12
[1093] setsockopt04         1    13
[1094] setsockopt05         1    11
[1095] setsockopt07         1    13
[1096] setsockopt08         1    13
[1097] setsockopt09         1    11
[1098] setsockopt10         1    20
[1099] settimeofday01       1    10
[1100] setuid01             1    10
[1101] setuid03             1    10
[1102] shmat03              1    11
[1103] shmat04              1  1320
[1104] shm_comm             1    10
[1105] shmctl05             1    28
[1106] shmem_2nstest        1    12
[1107] shmget03             1    12
[1108] shmget06             1    10
[1109] shmnstest            1    86
[1110] sighold02            1    10
[1111] sigsuspend01         1    10
[1112] snd_timer01          1    26
[1113] splice01             1    10
[1114] splice02             1    12
[1115] splice04             1    11
[1116] splice05             1    11
[1117] squashfs01           1    15
[1118] stack_clash          1    16
[1119] statfs03             1    10
[1120] statfs03             1    11
[1121] stime01              1    16
[1122] stime02              1    65
[1123] swapping01           1   134
[1124] symlink02            1    19
[1125] sysfs01              1    10
[1126] sysfs02              1    10
[1127] sysfs03              1    10
[1128] sysfs04              1    10
[1129] tee01                1    10
[1130] tgkill01             1    10
[1131] tgkill02             1    10
[1132] thp01                1    24
[1133] thp02                1    14
[1134] thp03                1    10
[1135] thp04                1    26
[1136] userns07             1    11
[1137] ustat01              1    10
[1138] utsname01            1    10
[1139] vhangup01            1    10
[1140] vhangup02            1    29
[1141] vmsplice01           1    11
[1142] vmsplice03           1    10
[1143] vsock01              1    27
[1144] wait01               1    10
[1145] wait02               1    10
[1146] wait402              1    10
[1147] wait403              1    11
[1148] waitid02             1    11
[1149] waitid03             1    11
[1150] waitid09             1    11
[1151] waitpid06            1    10
[1152] waitpid07            1    10
[1153] waitpid08            1    18
[1154] waitpid10            1    10
[1155] waitpid11            1    10
[1156] waitpid12            1    10
[1157] waitpid13            1    18
[1158] wqueue01             1    13
[1159] wqueue02             1    13
[1160] wqueue03             1    13
[1161] wqueue04             1    13
[1162] wqueue05             1    13
[1163] wqueue06             1    13
[1164] wqueue07             1    13
[1165] wqueue08             1    12
[1166] wqueue09             1    46
[1167] write01              1    10
[1168] write03              1    10
[1169] write04              1    10
[1170] writev03             1    81
[1171] zram03               1    34
[1172] acct02               0    24
[1173] UNKNOWN              0     9
[1174] UNKNOWN              0    38
[1175] bpf_common           0    14
[1176] bpf_common           0    14
[1177] bpf_common           0    13
[1178] UNKNOWN              0     9
[1179] UNKNOWN              0     9
[1180] UNKNOWN              0    10
[1181] UNKNOWN              0     9
[1182] UNKNOWN              0     9
[1183] cve-2015-3290        0    22
[1184] UNKNOWN              0    10
[1185] UNKNOWN              0    10
[1186] dirtyc0w             0    21
[1187] dirtyc0w_shmem       0    23
[1188] execl01              0    10
[1189] execle01             0    10
[1190] execlp01             0    11
[1191] execv01              0    10
[1192] execve01             0    18
[1193] execve06             0    47
[1194] execvp01             0    14
[1195] UNKNOWN              0    36
[1196] UNKNOWN              0     9
[1197] UNKNOWN              0     9
[1198] UNKNOWN              0    10
[1199] UNKNOWN              0     9
[1200] UNKNOWN              0    15
[1201] UNKNOWN              0    10
[1202] UNKNOWN              0    14
[1203] UNKNOWN              0    17
[1204] UNKNOWN              0     9
[1205] UNKNOWN              0     9
[1206] UNKNOWN              0     9
[1207] UNKNOWN              0    18
[1208] UNKNOWN              0     9
[1209] UNKNOWN              0     9
[1210] ima_boot_aggregate     0     9
[1211] ima_mmap             0     9
[1212] UNKNOWN              0    10
[1213] UNKNOWN              0    18
[1214] ioctl02              0     9
[1215] ioctl_sg01           0    23
[1216] irqbalance01         0    69
[1217] lib_x86              0    10
[1218] lib_x86              0    10
[1219] lib_x86              0    11
[1220] lib_x86              0    38
[1221] madvise09            0     9
[1222] meltdown             0     8
[1223] mem                  0    20
[1224] mmap1                0    62
[1225] mmap3                0 19390
[1226] mqns_03              0    12
[1227] mqns_04              0    11
[1228] netstress            0    37
[1229] UNKNOWN              0    15
[1230] mem                  0    29
[1231] openat04             0    42
[1232] prctl07              0    11
[1233] UNKNOWN              0    36
[1234] pty07                0    26
[1235] read_all             0    10
[1236] readdir21            0    10
[1237] recvmsg03            0    13
[1238] UNKNOWN              0    10
[1239] UNKNOWN              0    15
[1240] UNKNOWN              0    10
[1241] UNKNOWN              0    10
[1242] UNKNOWN              0    20
[1243] UNKNOWN              0    10
[1244] UNKNOWN              0    10
[1245] UNKNOWN              0    10
[1246] UNKNOWN              0    11
[1247] UNKNOWN              0    11
[1248] UNKNOWN              0    15
[1249] UNKNOWN              0    10
[1250] UNKNOWN              0    10
[1251] UNKNOWN              0    10
[1252] UNKNOWN              0    19
[1253] UNKNOWN              0    10
[1254] UNKNOWN              0    15
[1255] UNKNOWN              0    10
[1256] UNKNOWN              0    10
[1257] UNKNOWN              0    10
[1258] UNKNOWN              0    10
[1259] UNKNOWN              0    10
[1260] UNKNOWN              0    10
[1261] UNKNOWN              0    10
[1262] UNKNOWN              0    10
[1263] UNKNOWN              0    10
[1264] UNKNOWN              0    10
[1265] UNKNOWN              0    10
[1266] UNKNOWN              0    15
[1267] UNKNOWN              0    29
[1268] UNKNOWN              0    10
[1269] UNKNOWN              0    10
[1270] UNKNOWN              0    11
[1271] snd_seq01            0    34
[1272] socketcall01         0    10
[1273] socketcall02         0    11
[1274] socketcall03         0    10
[1275] sysctl01             0    10
[1276] sysctl03             0    12
[1277] sysctl04             0    10
[1278] userns08             0    18
total: 9960
total100: 6032
