[rank] test_name        pass  total_line
[ 223] mmap06               8    17
[ 224] mount05              8    70
[ 225] mount06              8    82
[ 226] msgrcv02             8    18
[ 227] overcommit_memory     8    37
[ 228] prctl05              8    32
[ 229] preadv02             8    17
[ 230] preadv02             8    18
[ 231] preadv202            8    17
[ 232] preadv202            8    18
[ 233] readlink03           8    18
[ 234] sched_setparam04     8    19
[ 235] sched_setscheduler01     8    19
[ 236] sched_setscheduler04     8    57
[ 237] semop03              8    19
[ 238] setns02              8    36
[ 239] setsockopt01         8    25
[ 240] shmget02             8    18
[ 241] syslog11             8    17
[ 242] writev07             8    25
[ 243] adjtimex02           7    19
[ 244] bind01               7    15
[ 245] bpf_map01            7    17
[ 246] UNKNOWN              7    34
[ 247] clone301             7    16
[ 248] cve-2022-4378        7   313
[ 249] UNKNOWN              7    33
[ 250] faccessat201         7    16
[ 251] fcntl33              7    16
[ 252] fcntl33              7    16
[ 253] fcntl36              7    22
[ 254] fcntl36              7    22
[ 255] fsetxattr02          7    16
[ 256] futex_cmp_requeue01     7    37
[ 257] UNKNOWN              7    33
[ 258] getpeername01        7    15
[ 259] inotify01            7    15
[ 260] io_submit03          7    16
[ 261] max_map_count        7    31
[ 262] mknod01              7    16
[ 263] mq_notify01          7    19
[ 264] mq_notify03          7    17
[ 265] UNKNOWN              7    34
[ 266] pipe2_01             7    31
[ 267] UNKNOWN              7    34
[ 268] UNKNOWN              7    34
[ 269] UNKNOWN              7    34
[ 270] UNKNOWN              7    34
[ 271] pwritev02            7    16
[ 272] pwritev02            7    17
[ 273] pwritev202           7    16
[ 274] pwritev202           7    24
[ 275] setpriority02        7    16
[ 276] setreuid01           7    16
[ 277] setreuid02           7    16
[ 278] setxattr02           7    16
[ 279] splice03             7    16
[ 280] statx03              7    17
[ 281] userns03             7    22
[ 282] utimes01             7    16
[ 283] add_key01            6    24
[ 284] alarm02              6    14
[ 285] capget01             6    16
[ 286] capset02             6    15
[ 287] chown05              6    14
[ 288] clock_adjtime02      6   148
[ 289] clock_gettime04      6    35
[ 290] creat01              6    14
[ 291] dup202               6    17
[ 292] execve03             6    30
[ 293] faccessat202         6    26
[ 294] fanotify23           6    17
[ 295] fchmodat01           6    15
[ 296] fchmodat02           6    14
[ 297] fchown05             6    14
[ 298] fcntl02              6    14
[ 299] fcntl02              6    14
[ 300] fcntl05              6    14
[ 301] fcntl05              6    30
[ 302] flock04              6    14
[ 303] fsconfig01           6    61
[ 304] fsconfig03           6    56
[ 305] fstat02              6    14
[ 306] fstat02              6    14
[ 307] futex_wake01         6    15
[ 308] getsockname01        6    14
[ 309] hugemmap23           6    72
[ 310] hugeshmctl02         6    19
[ 311] ioctl_loop07         6    24
[ 312] io_uring01           6    14
[ 313] kcmp02               6    14
[ 314] lstat02              6    14
[ 315] lstat02              6    35
[ 316] msgget02             6    15
[ 317] msgsnd02             6    15
[ 318] open08               6    15
[ 319] open_by_handle_at02     6    21
[ 320] pathconf02           6    15
[ 321] pidns30              6    17
[ 322] pidns31              6    17
[ 323] pipe12               6    18
[ 324] posix_fadvise01      6    15
[ 325] posix_fadvise01      6    15
[ 326] posix_fadvise02      6    15
[ 327] posix_fadvise02      6    15
[ 328] posix_fadvise04      6    15
[ 329] posix_fadvise04      6    15
[ 330] prctl03              6    15
[ 331] preadv201            6    15
[ 332] preadv201            6    15
[ 333] pwritev201           6    15
[ 334] pwritev201           6    15
[ 335] readlinkat02         6    16
[ 336] rename04             6    64
[ 337] rename05             6    64
[ 338] rename06             6    64
[ 339] rename07             6    64
[ 340] request_key03        6    15
[ 341] sched_getparam03     6    17
[ 342] sched_get_priority_max01     6    15
[ 343] sched_get_priority_min01     6    15
[ 344] sched_getscheduler01     6    17
[ 345] sched_rr_get_interval01     6    17
[ 346] sched_setparam02     6    17
[ 347] sched_setscheduler03     6    45
[ 348] select04             6    22
[ 349] semctl03             6    19
[ 350] semget02             6    15
[ 351] setdomainname02      6    23
[ 352] setdomainname02      6    23
[ 353] setresgid02          6    15
[ 354] shmctl08             6    15
[ 355] signal01             6    15
[ 356] stat03               6    15
[ 357] stat03               6    16
[ 358] statfs01             6    64
[ 359] statfs01             6    65
[ 360] statfs02             6    15
[ 361] statfs02             6    15
[ 362] sysinfo03            6    15
[ 363] syslog12             6   651
[ 364] tgkill03             6    15
[ 365] waitid05             6    16
[ 366] waitid06             6    16
[ 367] writev01             6    18
[ 368] accept01             5    13
[ 369] add_key05            5    24
[ 370] can_rcv_own_msgs     5    26
[ 371] capget02             5    14
[ 372] chroot03             5    13
[ 373] clone08              5    17
[ 374] delete_module02      5    20
[ 375] epoll_wait03         5    13
[ 376] epoll_wait07         5    17
[ 377] eventfd02            5    14
[ 378] fdatasync03          5    57
[ 379] fremovexattr01       5    63
[ 380] fsync03              5    14
[ 381] fsync04              5    66
[ 382] UNKNOWN              5    13
[ 383] gethostid01          5    14
[ 384] hugemmap06           5    15
[ 385] in6_01               5    30
[ 386] inotify04            5    13
[ 387] io_setup02           5    15
[ 388] kcmp01               5    13
[ 389] llseek01             5    13
[ 390] lremovexattr01       5    62
[ 391] mallopt01            5    13
[ 392] msync04              5    57
[ 393] open07               5    14
[ 394] openat01             5    39
[ 395] pidfd_getfd02        5    14
[ 396] prctl10              5    14
[ 397] proc_sched_rt01      5   434
[ 398] pwrite02             5    14
